ETC_20150317_000001	Kepa
ETC_20150317_000002	Der Kepa ist kein starkes Monster. Wenn du ihn allerdings angreifst, könnte das für dich nicht gut ausgehen.
ETC_20150317_000003	Großkepa
ETC_20150317_000004	Es gibt Leute, die versuchen wirklich, Großkepas zu essen. Das solltest du verhindern.
ETC_20150317_000005	Rotkepa
ETC_20150317_000006	Entgegen dem, was alle annehmen, sind die Rotkepas den ursprünglichen Kepas am ähnlichsten.
ETC_20150317_000007	Giftkepa
ETC_20150317_000008	Monster
ETC_20150317_000009	Hamming
ETC_20150317_000010	Trotz seiner widerstandsfähigen Haut ist der Hamming ein eher schwaches Monster.
ETC_20150317_000011	Chinency
ETC_20150317_000012	Die Chinencys waren einst Pflanzenstiele und haben sich später zu ihrer heutigen Form entwickelt.
ETC_20150317_000013	Chinency-Mutant
ETC_20150317_000014	Jukopus
ETC_20150317_000015	Wir wissen nur wenig darüber, wie der Jukopus aufgebaut ist.
ETC_20150317_000016	Blaujukopus
ETC_20150317_000017	Graujukopus
ETC_20150317_000018	Je nachdem, wie weit entwickelt es ist, kann dieses Monster eine Reihe unterschiedlicher Kampftechniken einsetzen.
ETC_20150317_000019	Pokeiler
ETC_20150317_000020	Gelbpokeiler
ETC_20150317_000021	Blaupokeiler
ETC_20150317_000022	Bei diesem Monster solltest du auf so einiges gefasst sein. Pass vor allem auf, wenn es einen Sturmangriff ausführt.
ETC_20150317_000023	Grünpokeiler
ETC_20150317_000024	Auch nachdem sie mutiert sind, ist ihr Fleisch immer noch essbar.
ETC_20150317_000025	Blaupokubu
ETC_20150317_000026	Todesfee
ETC_20150317_000027	Die Seele derjenigen, die in die Unterwelt abgestiegen sind, kehren jetzt als Dämonen zurück.
ETC_20150317_000028	Rote Todesfee
ETC_20150317_000029	Böser Geist
ETC_20150317_000030	Eine Seele, die noch nicht von der Göttin angeleitet wurde. Sie wurde durch dämonische Machenschaften geboren.
ETC_20150317_000031	Große Todesfee
ETC_20150317_000032	Bienenstock
ETC_20150317_000033	Blauer Bienenstock
ETC_20150317_000034	Grauer Bienenstock
ETC_20150317_000035	Roter Bienenstock
ETC_20150317_000036	Buschspinne
ETC_20150317_000037	Dieses Monster, das im Schatten des Waldes umherkrabbelt, ist im Laufe der Zeit immens gewachsen.
ETC_20150317_000038	Schwarzbuschspinne
ETC_20150317_000039	Rotbuschspinne
ETC_20150317_000040	Weißbuschspinne
ETC_20150317_000041	Gelbbuschspinne
ETC_20150317_000042	Abscheuliche Dionia
ETC_20150317_000043	Dionia Poza
ETC_20150317_000044	Blaufragaras
ETC_20150317_000045	Dieses Monster ist größer geworden, hat sich sonst aber nicht wirklich verändert. Es handelt sich dabei immer noch um eine tödliche und gemeine Pflanze.
ETC_20150317_000046	Schwarzfragaras
ETC_20150317_000047	Rotfragaras
