ITEM_20150317_000001	Empty_helmet	없음_helmet
ITEM_20150317_000002	Murmillo-Helm	무르밀로 헬멧
ITEM_20150317_000003	Empty_armband	없음_armband
ITEM_20150317_000004	Rote Armbinde	붉은 암밴드
ITEM_20150317_000005	Armbinde	암밴드
ITEM_20150317_000006	Verknotete Armbinde	매듭진 암밴드
ITEM_20150317_000007	Lange Armbinde	긴 암밴드
ITEM_20150317_000008	Federarmbinde	깃털 장식 암밴드
ITEM_20150317_000009	Quastenarmbinde	술달린 암밴드
ITEM_20150317_000010	Empty_weapon	없음_weapon
ITEM_20150317_000011	Primitiver Gladius	조악한 글라디우스
ITEM_20150317_000012	Einhändiges Schwert [Hieb]	한손검[베기]
ITEM_20150317_000013	Eine Standardwaffe der Soldaten der Königlichen Armee. Sie wird auch häufig von Zivilisten getragen.	글라디우스는 왕국 병사의 기본 무장 중 하나로 민간에서도 널리 사용됩니다.
ITEM_20150317_000014	Gladius	글라디우스
ITEM_20150317_000015	Diese Waffe ist eine verbesserte Version ihres beim Militär verwendeten Gegenstücks.	군용에 비해 성능 향상의 여지를 두고 제조됩니다.
ITEM_20150317_000016	Einfaches Falchion	로우 폴쳔
ITEM_20150317_000017	Dieses Schwert eignet sich außergewöhnlich gut für schlitzende Hiebe.	베기 성능이 우수한 검입니다. 
ITEM_20150317_000018	Einfaches Kaskara	로우 카스카라
ITEM_20150317_000019	Da es problemlos herzustellen ist, wird dieses Schwert von Abenteurern häufig als erste "richtige" Waffe nach dem Trainingsschwert gewählt.	제조가 쉬워서 모험가들이 처음 검을 바꿀 때 많이 선택합니다.
ITEM_20150317_000020	Cinquedea	친퀘데아
ITEM_20150317_000021	Empfohlen für alle, die sich ein schwereres und mächtigeres Schwert wünschen.	더 무겁고 더 강한 검을 원한다면 권장합니다.
ITEM_20150317_000022	Säbel	사브르
ITEM_20150317_000023	Diese Hauptwaffe der Kavallerie wurde für schlitzende Hiebe optimiert. Die Parierstange am Griff dient zum Schutz der Hand.	기병들의 기본 무장이며, 베기에 적합한 구조를 지녔습니다. 검병이 있어 손을 보호하는 효과도 있습니다.
ITEM_20150317_000024	Shamshir	샴시르
ITEM_20150317_000025	Die große, halbmondförmige Schnittkante der Klinge schneidet mit beeindruckender Kraft.	크게 구부러진 초승달 검날이 베기에 위력적입니다.
ITEM_20150317_000026	Krummsäbel	시미터
ITEM_20150317_000027	Sein hohes Gewicht ermöglicht sehr kräftige Hiebe.	무게는 약간 부담스럽지만, 베기에는 그만큼 위력적입니다.
ITEM_20150317_000028	Kris	크리스
ITEM_20150317_000029	Seine geschwungene Klinge sorgt dafür, dass er größeren Schaden verursacht. Dieses Schwert ist nicht nur praktisch, sondern auch dekorativ.	구불구불한 날이 피해를 크게 입힙니다. 장식과 실용성을 동시에 추구하는 검입니다.
ITEM_20150317_000030	Langmesser	스니커스니
ITEM_20150317_000031	Dank der extrem scharfe Klinge ist dieses große Messer auch bei erfahrenen Schwertkämpfern sehr beliebt.	절단력이 무척 우수하여 경험많은 검사들도 애용합니다.
ITEM_20150317_000032	Primitiver Shamshir	조악한 샴시르
ITEM_20150317_000033	Primitiver Krummsäbel	조악한 시미터
ITEM_20150317_000034	Gladius des Soldaten	병사의 글라디우스
ITEM_20150317_000035	Dieses Schwert gehört zur Grundausstattung von Berufssoldaten. Insgesamt ist es qualitativ besser als alles, was man auf dem Markt bekommt.	정규병에게 지급됩니다. 민간제조 글라디우스에 비해 대체로 성능이 좋습니다. 
ITEM_20150317_000036	Falchion des Bürgermeisters	촌장의 폴쳔
ITEM_20150317_000037	Ein Blick auf diese Waffe und die Vergangenheit ihres Vorbesitzers kommt einem verdächtig vor.	이전 주인의 과거가 의심스러워지는 물건입니다.
ITEM_20150317_000038	Primitives Kaskara	조악한 카스카라
ITEM_20150317_000039	Moplah	모플라
ITEM_20150317_000040	Dieses Schwert verbindet Funktionalität mit gutem Aussehen.	실용성과 미적 감각을 모두 갖춘 검입니다.
ITEM_20150317_000041	Schwerer Gladius	헤비 글라디우스
ITEM_20150317_000042	Falchion	폴쳔
ITEM_20150317_000043	Schweres Falchion	헤비 폴쳔
ITEM_20150317_000044	Kaskara	카스카라
ITEM_20150317_000045	Schweres Cinquedea	헤비 친퀘데아
ITEM_20150317_000046	Schwerer Säbel	헤비 사브르
ITEM_20150317_000047	Schwerer Shamshir	헤비 샴시르
ITEM_20150317_000048	Dunkelsäbel	던켈 사브르
ITEM_20150317_000049	Dunkellangmesser	던켈 스니커스니
ITEM_20150317_000050	Dunkelfalchion	던켈 폴쳔
ITEM_20150317_000051	Dunkelkaskara	던켈 카스카라
ITEM_20150317_000052	Dunkelcinquedea	던켈 친퀘데아
ITEM_20150317_000053	Dunkelshamshir	던켈 샴시르
ITEM_20150317_000054	Kozuka	코주카
ITEM_20150317_000055	Keine Kurzinfo vorhanden.	툴팁이 없습니다.
ITEM_20150317_000056	Krummschwert	바들레르
ITEM_20150317_000057	Saif	사이프
ITEM_20150317_000058	Colichemarde-Schwert	콜리슈마르드
ITEM_20150317_000059	Firangi	피란기
ITEM_20150317_000060	Dornenschnitter	쏜 커터
ITEM_20150317_000061	Demion-Schwert	데미온소드
ITEM_20150317_000062	Meisterschwert	지존검
ITEM_20150317_000063	Panto-Schwert	판토 소드
ITEM_20150317_000064	Ein primitives Schwert, das von den Panto benutzt wird. Du kannst eine bessere Version selbst herstellen.	판토들이 사용하지만 직접 제작하면 더 나은 판토 소드를 만들 수 있습니다.
ITEM_20150317_000065	Flonas-Säbel	플로나스 사브르
ITEM_20150317_000066	Man erzählt sich, dass diese Waffe den Groll entfesselt, den Pflanzen gegen Tiere hegen.	어떤 사람들은 이 검에 식물이 동물에게 품은 감정이 발현된다고 합니다.
ITEM_20150317_000067	Goldfalchion	골든 폴쳔
ITEM_20150317_000068	Möglicherweise liegt es daran, dass Gold mit dem Schicksal verbunden ist, dass das Goldfalchion dem Besitzer im Kampf Glück bringt. Den Gegnern schadet es natürlich sehr.	황금이 행운의 상징인 때문인지 골든 폴쳔은 전투에서 행운을 선사하곤 합니다. 물론 적에게는 심한 피해가 되겠지요.
ITEM_20150317_000069	Stahlfalchion	스틸 폴쳔
ITEM_20150317_000070	Das Stahlfalchion ist eine gute Wahl für alle, die beim Führen des Schwerts gerne präzise sind.	검법의 정밀함을 추구하는 검사라면 스틸 폴쳔이 좋은 선택일 수 있습니다.
ITEM_20150317_000071	Silberfalchion	실버 폴쳔
ITEM_20150317_000072	Dank seines geringen Gewichts und seiner Robustheit kann ein Schwertkämpfer während eines Angriffs sein ganzes Können spielen lassen.	가벼우면서도 의외로 단단하여 검사의 용력을 담은 공격을 펼칠 수 있습니다.
ITEM_20150317_000073	Alraunenstich	만드라픽
ITEM_20150317_000074	Dieses Schwert soll dank seiner Essenz aus Alraunen den Geist seines Besitzers klären.	마드라고라의 힘이 깃들어 착용자의 정신을 맑게 한다고 합니다.
ITEM_20150317_000075	Klinge des Zauberkundigen	위저드 블레이드
ITEM_20150317_000076	Man sollte niemals einen Zauberer reizen, weil er ein Schwert trägt – besonders dann nicht, wenn es sich bei diesem Schwert um die Klinge des Zauberkundigen handelt.	마법사가 검을 사용한다고 우습게 보면 안 됩니다. 특히 그 검이 위저드 블레이드라면 더욱 그렇습니다.
ITEM_20150317_000077	Cheminis-Schwert	케미니스 소드
ITEM_20150317_000078	Dieses Schwert wird nach einer Anleitung hergestellt, die von einem Alchemisten aus der Familie Winterkelle entwickelt wurde. Er behauptete, er könne bessere Schwerter fertigen als jeder Schmied.	오래전 윈터스푼 가문의 알케미스트가 대장장이보다 나은 검을 만들 수 있다고 주장하고 내놓은 제조법에 기반한 검입니다.
ITEM_20150317_000079	Austas	아우스타스
ITEM_20150317_000080	Dieses Schwert ist seines hohen Preises würdig. Den Händlern ist es jedoch lieber, wenn du wiederkommst, um weitere Waffen zu kaufen, statt diese Klinge lange Zeit zu benutzen.	비싼 가치를 하는 무기입니다. 다만 상인들은 당신이 이것을 오래 쓰기보다는 자주 사러 오기를 바랍니다.
ITEM_20150317_000081	Miskas-Säbel	미스카스 사브르
ITEM_20150317_000082	Diese Waffe sorgt für ein flinkeres Führen des Schwerts.	당신의 검법을 더 날렵하게 만드는 무기입니다.
ITEM_20150317_000083	Imperni-Schwert	임페르니 소드
ITEM_20150317_000084	Veteranen schwärmen oft von dem Nervenkitzel, den sie erfuhren, als sie zum ersten Mal dieses Schwert in Händen hielten.	검의 대가들도 초보티를 벗고 처음 이 검을 잡았을 때의 감격을 이야기하곤 합니다. 
ITEM_20150317_000085	Gritas	그리타스
