QUEST_LV_0200_20150317_000001	Philipas' Soldier
QUEST_LV_0200_20150317_000002	The monsters' attacks are becoming more violent. {nl} I'm determined to succeed, but I also fear for our safety.
QUEST_LV_0200_20150317_000003	It doesn't matter - I can give up my life today, or be a dead man tomorrow.
QUEST_LV_0200_20150317_000004	Commander Vacenin
QUEST_LV_0200_20150317_000005	Somehow, we need to resolve our poor supplies and forces. {nl}Once we accomplish that we will be able to break through the forest, piece by piece.
QUEST_LV_0200_20150317_000006	Even though everyone's getting tired, we can't give up until Kateen Forest is ours again.
QUEST_LV_0200_20150317_000007	Senior Officer Philipas
QUEST_LV_0200_20150317_000008	I wish for a peaceful world. {nl}In order for this to happen, I need to work harder.
QUEST_LV_0200_20150317_000009	I'll do anything to regain this forest from the monsters. {nl} It's worth risking my life for.
QUEST_LV_0200_20150317_000010	Our front line is composed exclusively of Philipas' troops. {nl} They'll follow Philipas' commands through anything.
QUEST_LV_0200_20150317_000011	Live with the idea that any moment could become your last. {nl} We must learn from the past and use it to our advantage.
QUEST_LV_0200_20150317_000012	Officer Felix
QUEST_LV_0200_20150317_000013	The Entrance of Kateen Forest is rather on the safe side, but please refrain from going any deeper than this.
QUEST_LV_0200_20150317_000014	Weak Owl Sculpture
QUEST_LV_0200_20150317_000015	My power is slowly weakening. {nl} Even though there are many souls that need guidance...
QUEST_LV_0200_20150317_000016	Scared Owl Sculpture
QUEST_LV_0200_20150317_000017	The holy power of the forest is weakening. {nl} What will happen to us after it's gone?!
QUEST_LV_0200_20150317_000018	It's too scary. {nl}This never happened when the goddess was still around...
QUEST_LV_0200_20150317_000019	Sincere Owl Sculpture
QUEST_LV_0200_20150317_000020	This forest is cursed... it consumes the owls. {nl} I have hardly anything to compel bravery from others.
QUEST_LV_0200_20150317_000021	Ever since that huge tree suddenly arose, this forest has changed into something horrid. {nl} Even the trees' roots frighten whoever stares at them.
QUEST_LV_0200_20150317_000022	Devoted Owl Sculpture
QUEST_LV_0200_20150317_000023	Someone was held captive. {nl} I have a feeling he's going to disappear...
QUEST_LV_0200_20150317_000024	The sacred force created by the goddess has not completely disappeared. {nl}Will it be able to suppress this devastation? {nl}
QUEST_LV_0200_20150317_000025	The chief gave me power.{nl}I won't be scared.
QUEST_LV_0200_20150317_000026	I'm not going to be afraid anymore. I will never be eaten by monsters.
QUEST_LV_0200_20150317_000027	Troubled Owl Sculpture
QUEST_LV_0200_20150317_000028	I'm suffering every day.{nl}Perhaps, I will also be eaten by monsters.
QUEST_LV_0200_20150317_000029	This forest is increasingly covered with demons.{nl}Where is the goddess?
QUEST_LV_0200_20150317_000030	I was chosen by the chief... {nl} I'll do my best to defeat the monsters.
QUEST_LV_0200_20150317_000031	The chief is also struggling like this...{nl}Never will I be eaten until the goddess comes back.
QUEST_LV_0200_20150317_000032	Subordinate Owl 3
QUEST_LV_0200_20150317_000033	We have always been here at this place, but where is the goddess who has always looked after us?
QUEST_LV_0200_20150317_000034	Do we exist only for guiding humans' souls?
QUEST_LV_0200_20150317_000035	Soldier Dominic
QUEST_LV_0200_20150317_000036	I've been ordered to protect this place with my life and to do some reconnaissance at the same time.{nl}I don't know exactly what they expect me to do.
QUEST_LV_0200_20150317_000037	Next time I'm going to make sure they tell me exactly what they want me to do.{nl}No. wouldn't it be better to ask Julian?
QUEST_LV_0200_20150317_000038	If it's just monsters of that level, I guess I can report that there is no serious problem.{nl}Oh, if you happen to run into Samson, please tell him to stop fooling around and continue scouting.
QUEST_LV_0200_20150317_000039	I will protect this area, so go patrol Veltui Crossroads.{nl}As for the reports, I will do them separately at a later time.
QUEST_LV_0200_20150317_000040	Soldier Samson
QUEST_LV_0200_20150317_000041	Can you please help me find Dominic's engagement ring? {nl} I'm currently undertaking a mission, so I won't be able to leave this spot.
QUEST_LV_0200_20150317_000042	I tell you, he acts like that even though I bought him a roughly similar one. So stingy...
QUEST_LV_0200_20150317_000043	What is this ugly thing? Oh, could the ring be inside?
QUEST_LV_0200_20150317_000044	A knife won't fit inside, and there's no other way to get it out.{nl}Right! Can't we burn it to retrieve what's inside?
QUEST_LV_0200_20150317_000045	Just make sure to bring me ones that aren't too thick.
QUEST_LV_0200_20150317_000046	This should be just right.{nl}Good. Now, how do I burn this while I am working and not get caught?
QUEST_LV_0200_20150317_000047	There should be plenty of Dry Thorn Forest Wood at the edge of Ishisineti Cliff. {nl} I'm on patrol and don't have time, so I ask of you again.
QUEST_LV_0200_20150317_000048	Ah, you should be able to burn it secretly at the top of Ishisineti Cliff. {nl} This is my last request. You just need to make preparations for the fire.
QUEST_LV_0200_20150317_000049	I will never again care for another's wedding ceremony.
QUEST_LV_0200_20150317_000050	I'll just say I have to go to the bathroom and burn it secretly there.{nl}Thank you very much.
QUEST_LV_0200_20150317_000051	Soldier Poulter
QUEST_LV_0200_20150317_000052	My goodness, the order states to eliminate all of the monsters in this area!{nl}How am I supposed to handle this many enemies all by myself?
QUEST_LV_0200_20150317_000053	It was too overwhelming to carry out the task just by myself.{nl}However, I'm really fortunate since you decided to help me.
QUEST_LV_0200_20150317_000054	I could almost cry my eyes out!{nl}Thank you very much for your help.
QUEST_LV_0200_20150317_000055	Commander Julian
QUEST_LV_0200_20150317_000056	Thanks for the help! {nl} If it's okay with you, I'd like to borrow some more of your strength.{nl}
QUEST_LV_0200_20150317_000057	Won't you support Commander O'Rourke's unit at the Veltui Crossroads?
QUEST_LV_0200_20150317_000058	Commander O'Rourke
QUEST_LV_0200_20150317_000059	Very impressive.{nl}Looks like I'll have to buy Julian a drink.
QUEST_LV_0200_20150317_000060	It occurred to me while watching Ironbaum. {nl} What an exceptional companion it could be.
QUEST_LV_0200_20150317_000061	O'Rourke's unit has been exhausted through big and small battles with Ironbaum.{nl}It would be very reassuring if you could become our strength.
QUEST_LV_0200_20150317_000062	Substitute Owl Sculpture
QUEST_LV_0200_20150317_000063	I want to help purify the thorny forest, but I'm not strong enough. Could you eliminate the Tree Ghouls bothering the soldiers?
QUEST_LV_0200_20150317_000064	It would be nice if more people could come and go using this road like before.{nl}I find people very interesting.
QUEST_LV_0200_20150317_000065	Thank you. I hope I'm not giving you needless trouble all because of my aspirations.
QUEST_LV_0200_20150317_000066	Alright. We haven't received any word from our forces at Niurus Highway.{nl}I request you find them.
QUEST_LV_0200_20150317_000067	If you can't find them, return to us.
QUEST_LV_0200_20150317_000068	Soldier Kallus
QUEST_LV_0200_20150317_000069	There are still a few of our colleagues further in.{nl}Please help us.
QUEST_LV_0200_20150317_000070	Soldier Dainus
QUEST_LV_0200_20150317_000071	Ironbaum attacked us at the Drieza Waterland.{nl}There are still soldiers left that have not yet escaped.{nl}
QUEST_LV_0200_20150317_000072	I'm embarrassed to have escaped by myself.{nl}
QUEST_LV_0200_20150317_000073	Settled Owl Sculpture
QUEST_LV_0200_20150317_000074	I have something to ask from you.{nl}I'm worried about the soldiers who are being hurt by the Ravinelarvae.
QUEST_LV_0200_20150317_000075	Thank you.{nl}From now on, can our soldiers work comfortably?
QUEST_LV_0200_20150317_000076	I appreciate your kind help.{nl}One day, I will return this favor when I meet your soul form.
QUEST_LV_0200_20150317_000077	Are you the famous Revelator?{nl}Good, I'm puzzled with something. I need your help.
QUEST_LV_0200_20150317_000078	Ah, now I've received the order.{nl}Return to Commander Julian.
QUEST_LV_0200_20150317_000079	I'm collecting information about Ironbaum.{nl}In order to reach the Gateway of the Great King, we have to defeat this monster first.
QUEST_LV_0200_20150317_000080	Thank you.{nl}Come back after taking this order to Poulter at Zaizda Hill.
QUEST_LV_0200_20150317_000081	Give me back the good old times.{nl} When there were no thorns.
QUEST_LV_0200_20150317_000082	If the path to the Gateway of the Great King is safe then I will be able to see more people.{nl}
QUEST_LV_0200_20150317_000083	Over all this time, I've seen it all.{nl}Now, I want only joy to be seen.
QUEST_LV_0200_20150317_000084	Why do human souls contain so many things?
QUEST_LV_0200_20150317_000085	If we run into monsters, we'll have no choice but to fight.
QUEST_LV_0200_20150317_000086	We're working to reach the Gateway of the Great King.{nl}Have you heard the news about Ironbaum?
QUEST_LV_0200_20150317_000087	In order to be a group leader, you need unwavering principles.
QUEST_LV_0200_20150317_000088	It's true that trying to reach the Gateway of the Great King is reckless.{nl}However, we can't disobey the order.
QUEST_LV_0200_20150317_000089	It may seem bad at first, but the two commanders have a surprisingly good relationship.
QUEST_LV_0200_20150317_000090	I feel so lonely since no one is here.{nl}It's been a long time since I met new faces.
QUEST_LV_0200_20150317_000091	What do you want to do here in this empty forest? No way, the way is available?
QUEST_LV_0200_20150317_000092	Thank you.{nl}The soldiers and my colleagues will now be able to sleep comfortably.
QUEST_LV_0200_20150317_000093	I can't feel my arms and legs.{nl}I feel so strange even though It's not cold.
QUEST_LV_0200_20150317_000094	We must defeat Gaigalas.{nl}Otherwise, I won't be able to sleep in peace.
QUEST_LV_0200_20150317_000095	We will start the hunt for Gaigalas soon.{nl}I'm so excited.
QUEST_LV_0200_20150317_000096	This grudge is so sad.{nl}It's sad that we are powerless to stop it either.
QUEST_LV_0200_20150317_000097	Losses will continue unless somebody stops the demons.
QUEST_LV_0200_20150317_000098	Joint Investigation Unit Member Frey
QUEST_LV_0200_20150317_000099	I'm Frey.{nl}Listening to the story, the situation sounds bad.{nl}If the information you and Scott researched is correct.
QUEST_LV_0200_20150317_000100	{nl}Then, I will have to do something.{nl}Please defeat some Red Vubbes first. They have been bothering me lately.
QUEST_LV_0200_20150317_000101	Please, I ask of you...{nl}I get sick just looking at the red color.
QUEST_LV_0200_20150317_000102	Oh, did you really defeat them for me?{nl}Thank you!
QUEST_LV_0200_20150317_000103	I got something after talking with Scott.{nl}Something like a moving Woodsman piece of tree sculpture.{nl}Is it somehow related with the bark of a tree that the Vubbes got?
QUEST_LV_0200_20150317_000104	By the way, there is still no news from Scott about a second report.{nl}I wonder what happened to him? Hmm...
QUEST_LV_0200_20150317_000105	Wow, great!{nl}I owe you one. Thank you!
QUEST_LV_0200_20150317_000106	Right? So I will ask you.{nl}Woodsmen are appearing on the Deer Hoot Site along with the left side of the path.
QUEST_LV_0200_20150317_000107	I will take this combined result of the information Scott gave me and this fragment to my superior. {nl}By the way, There is still no news from Scott. Even the time Scott promised has long since passed. Just using the hearsay is not enough for the other investigator?{nl}
QUEST_LV_0200_20150317_000108	Could you pick up the report from Scott?{nl}Do not forget to scold him for skipping work!
QUEST_LV_0200_20150317_000109	Please handle Scott's report. Okay?{nl}Sometimes, he is stupid, but he is also cute.
QUEST_LV_0200_20150317_000110	I have no face. Nowadays, I have been investigating everywhere to find something..{nl}Thanks a lot. If you are not..{nl}Ah, I don't want to think about it.{nl}
QUEST_LV_0200_20150317_000111	Oops, there's no time for this.{nl}I'm sorry, Please give it to Frey instead of me.{nl}I don't know where to start to clean the mess that Vubbes did..
QUEST_LV_0200_20150317_000112	Ah, it is the report! {nl}Good, and what was Scott doing?{nl}
QUEST_LV_0200_20150317_000113	Really? He couldn't handle a single Vubbe and got in trouble instead.{nl}Such a shame..I will scold him later!
QUEST_LV_0200_20150317_000114	Everything is messy. {nl}I can not concentrate as the Vubbes.{nl}He must laugh, If he look at it?
QUEST_LV_0200_20150317_000115	Joint Investigation Unit Member Frey
QUEST_LV_0200_20150317_000116	It is still in progress to find the truth of the events.{nl}Take it. It's a soul collection scroll.{nl}
QUEST_LV_0200_20150317_000117	Once you defeat the Red Vubbe using this scroll, the soul of Vubbe should be out?{nl}I'll have you collect it for me. Then, the data are almost done.
QUEST_LV_0200_20150317_000118	Do not forget the order.{nl}You have to defeat the Red Vubbes after using the soul collection scroll on them. Alright?
