QUEST_LV_0300_20150323_000001	We were deployed here from headquarters to support the Knights of Kaliss.{nl}If you want to know more, head over to our headquarters at Verkti Square.
QUEST_LV_0300_20150323_000002	I've been a merchant all my life. {nl}After Medzio Diena, this seemed like the safest place to be, so I settled here... {nl}But I guess I was wrong.
QUEST_LV_0300_20150323_000003	I've met many Revelators during my travels.{nl}In my opinion... there is something special about them, and it's not just their strength.
QUEST_LV_0300_20150323_000004	I'm not blaming the goddesses and the priests.{nl}But I think it's too much when they tell us to just trust them and wait.
QUEST_LV_0300_20150323_000005	The seals in the village are supposed to be sealed - that's why they're called seals, {nl}so what's the big deal? The priests are just trying to scare us for no reason.
QUEST_LV_0300_20150323_000006	The priests don't want everyone to know how important the seals in the village are.{nl}They think that they can just take the burden upon themselves, {nl}and then everything will be alright.
QUEST_LV_0300_20150323_000007	Some of the priests want to be truthful and open with the villagers.{nl}At this rate, if something really bad happens...
QUEST_LV_0300_20150323_000008	The evil energy is making this forest decay into a lifeless place.{nl}It is easily the biggest problem this village is facing.
QUEST_LV_0300_20150323_000009	Goddess...{nl}Please tell me the village's seal is really okay...
QUEST_LV_0300_20150323_000010	Demons will continue to target the seal and attack endlessly.{nl}With Goddess Austeja still missing, how long will we be able to last...
QUEST_LV_0300_20150323_000011	It was a mistake for us to try to handle this by ourselves.{nl}From now on, we will tell the villagers the whole truth and include them in a {nl}deliberate discussion on how to handle the matter.
QUEST_LV_0300_20150717_000012	Überprüfe, ob der Detektor ordnungsgemäß funktioniert (1)
QUEST_LV_0300_20150717_000013	Dämon, Göttinnen und die Versteinerte Stadt (1)
QUEST_LV_0300_20150717_000014	Überprüfe, ob der Detektor ordnungsgemäß funktioniert (2)
QUEST_LV_0300_20150717_000015	Dämon, Göttinnen und die Versteinerte Stadt (2)
QUEST_LV_0300_20150717_000016	Überprüfe, ob der Detektor ordnungsgemäß funktioniert (3) 
QUEST_LV_0300_20150717_000017	Überprüfe, ob der Detektor ordnungsgemäß funktioniert (4)
QUEST_LV_0300_20150717_000018	So werden Seelen geleitet
QUEST_LV_0300_20150717_000019	Repariere den Versteinerungsdetektor.
QUEST_LV_0300_20150717_000020	Reparieren/MAKING/3/TRACK_AFTER/None
QUEST_LV_0300_20150717_000021	Überprüfe, ob der Detektor ordnungsgemäß funktioniert (5)
QUEST_LV_0300_20150717_000022	Reparieren/MAKING/3/TRACK_BEFORE
QUEST_LV_0300_20150717_000023	Notice/!/Eines der Teile wurde nicht gut festgemacht,{nl}Du brauchst etwas wie eine Schnur, um es festzubinden!#5
QUEST_LV_0300_20150717_000024	Notice/!/Du musst eine Schnur finden.#5
QUEST_LV_0300_20150717_000025	Für die Seelenleitung
QUEST_LV_0300_20150717_000026	Jetzt kannst du dich ausruhen
QUEST_LV_0300_20150717_000027	Das Gerät untersuchen/LOOK/2/TRACK_BEFORE/None
QUEST_LV_0300_20150717_000028	Notice/!/Wenn du das Gerät berührst fühlt es sich so an, als würde deine Seele herausgesaugt!{nl}Du beginnst, dich schwach zu fühlen!
QUEST_LV_0300_20150717_000029	Notice/!/Jetzt fühlst du dich wieder erfrischt.#5
QUEST_LV_0300_20150717_000030	Sein Einziger Wunsch (1)
QUEST_LV_0300_20150717_000031	Der Grund für seines Todessehnsucht
QUEST_LV_0300_20150717_000032	Sein Einziger Wunsch (3)
QUEST_LV_0300_20150717_000033	Sein Einziger Wunsch (2)
QUEST_LV_0300_20150717_000034	Gehe zur Klerikermeisterin.
QUEST_LV_0300_20150717_000035	Jetzt könnt ihr nicht zusammenarbeiten.
QUEST_LV_0300_20150717_000036	Zerstöre das Terminal! (1)
QUEST_LV_0300_20150717_000037	Der Mainframe und das Terminal
QUEST_LV_0300_20150717_000038	Weiche den Angriffen der Monster aus und zerstöre das Terminal!#5
QUEST_LV_0300_20150717_000039	Zerstöre das Terminal! (2)
QUEST_LV_0300_20150717_000040	Sprengpulver wird gezündet/FIRE/2/TRACK_BEFORE/None
QUEST_LV_0300_20150717_000041	Notice/Das Terminal wurde bei der Explosion zerstört!#5
QUEST_LV_0300_20150717_000042	Zerstöre das Terminal! (3)
QUEST_LV_0300_20150717_000043	Ewiger Friede (1)
QUEST_LV_0300_20150717_000044	Falls du noch ein paar letzte Worte sagen möchtest
QUEST_LV_0300_20150717_000045	Ewiger Friede (2)
QUEST_LV_0300_20150717_000046	Die Kugel wird platziert/MAKING/3/TRACK_BEFORE/None
QUEST_LV_0300_20150717_000047	Ewiger Friede (3)
QUEST_LV_0300_20150717_000048	Hallo!
QUEST_LV_0300_20150717_000049	Notice/Es sieht aus, als wäre Svitrigailas Wunsch erfüllt worden.#5
QUEST_LV_0300_20150717_000050	Inspiziere den Detektor.
QUEST_LV_0300_20150717_000051	Sprich mit Kupole Meile.
QUEST_LV_0300_20150717_000052	Sprich mit dem Kupole, den du vor dem Versteinernden Frost gerettet hast.
QUEST_LV_0300_20150717_000053	Untersuche den Versteinerungsdetektor.
QUEST_LV_0300_20150717_000054	Prüfe die Detektoren in Gebieten, in denen du bisher noch nicht gewesen bist, um Kupole Meile dabei zu helfen, die Seelen sicher aus dem Versteinernden Frost zu leiten.
QUEST_LV_0300_20150717_000055	Kehre zu Kupole Meile zurück.
QUEST_LV_0300_20150717_000056	Du hast alle 4 Detektoren bis auf den am Eingang überprüft. Kehre jetzt zu Kupole Meile zurück.
QUEST_LV_0300_20150717_000057	Du hast deine eigene Meinung in Bezug auf die Reaktivierung des nicht funktionierenden Detektors. Sprich noch einmal mit Kupole Meile.
QUEST_LV_0300_20150717_000058	Triff dich mit der königlichen Armeewache Retia.
QUEST_LV_0300_20150717_000059	Kupole sagt, dass die königliche Armee den Versteinerungsdetektor platziert hat. Triff dich mit der königliche Armeewache Retia auf dem Verkti-Platz.
QUEST_LV_0300_20150717_000060	Unterhalte dich mit der königliche Armeewache Retia noch weiter über den nicht funktionierenden Detektor in der Küstenfestung.
QUEST_LV_0300_20150717_000061	Finde ein Teil für den Versteinerungsdetektor.
