QUEST_UNUSED_20150317_000001	A ha, you're on your way to see Master Pardoner. I wish you luck.
QUEST_UNUSED_20150317_000002	Note the long way Hashipusho.
QUEST_UNUSED_20150317_000003	So. Korezo. Pardoner does not allow you to introductory. Sound fall that silver was Like this donation was bought {nl} indulgences leads to our salvation. {nl} wealth also, that it be noted that it is a great blessing of goddess.
QUEST_UNUSED_20150317_000004	Pardoner be viewed back to your master Te. {nl} if had the fire pot looking for a very long time.
QUEST_UNUSED_20150317_000005	Gatekeeper Owl Sculpture
QUEST_UNUSED_20150317_000006	Or Tesla-like has created us by cutting the tree. {nl} So, we owl, you always say want to return the favor. {nl}
QUEST_UNUSED_20150317_000007	So I what is. You may ask. Would you like Tesla electrolysis collected sculpture of marble from {nl} Cathedral?
QUEST_UNUSED_20150317_000008	If marble of the cathedral, but it likes Tesla-like?
QUEST_UNUSED_20150317_000009	If it were a gift of owl image {nl} the babe, but evidence for my life. {nl}
QUEST_UNUSED_20150317_000010	Anyway .. What seemed happy visitor comes something today, I will Hey drawing.
QUEST_UNUSED_20150317_000011	When I saw the first time in your Klaipeda, it was thought to be whether the delicate arm sword Ya can shake. {nl} But, now I became a hero in the hero that many people praise. {nl}
QUEST_UNUSED_20150317_000012	However, I want to make sure your courage directly. banshee {nl} covers the evil aura the dark forest. You are not a proper challenge harder ones.
QUEST_UNUSED_20150317_000013	Isolation. Just merely hunting. In {nl}, Itogetone waiting on the Klaipeda.
QUEST_UNUSED_20150317_000014	Have been. Was waiting. {nl} would be given a reward worthy of your container if this degree.
QUEST_UNUSED_20150317_000015	Hehe, I'm really enthusiastic. {nl} I remembered when you were still convergence wizard. Then also you were really enthusiastic. {nl}
QUEST_UNUSED_20150317_000016	Now I want to know you grew how. If {nl} banshee et al defile the forest, do not you to the appropriate challenge?
QUEST_UNUSED_20150317_000017	Rather than test, it is considered to be a good thing. In {nl}, and later also met at the Klaipeda.
QUEST_UNUSED_20150317_000018	Yes, brilliantly Hatchiu~otone. and {nl} is a what kind of figure is when the next meet, further anxious?
QUEST_UNUSED_20150317_000019	Plate when you saw the first time, I wonder not die immediately parser too stand up. I thought. {nl} now I think that it has become more famous than me. {nl}
QUEST_UNUSED_20150317_000020	You will really try to the will bet described meets applied to its reputation. {nl} it is to exterminate all the nasty banshee covering this forest. How is it?
QUEST_UNUSED_20150317_000021	What so I'm going important that actually bet. I met me is, it is not more important. In {nl}, waiting on the Klaipeda.
QUEST_UNUSED_20150317_000022	Have been. You really've got to impress me. {nl} Do you accept now expect a more grown-up appearance?
QUEST_UNUSED_20150317_000023	I think it 's assume is filled with the grace of the goddess than when you first came to the Klaipeda. {nl} I want to know your faith is how deep. {nl}
QUEST_UNUSED_20150317_000024	Of course, it is not the same thing Let again in an abstract standard. {nl} and I drive off the banshee that bring the evil aura in this forest in the name of the goddess.
QUEST_UNUSED_20150317_000025	Goddess less our enemy and we do not have differences. In {nl}, I will see you on the Klaipeda.
