SKILL_20150317_000001	Angriff
SKILL_20150317_000002	[Elite-Kepa] Einmalig, physisch, Gift, Schlag
SKILL_20150317_000003	[Rafflesie] Giftverbreitung
SKILL_20150317_000004	[Rafflesie] Giftbombe
SKILL_20150317_000005	[Fliegenraffer] Physisch, Gift, Angriff 1-mal
SKILL_20150317_000006	[Fliegenraffer] Physisch, Schlag, Gift, Sprungangriff 1-mal
SKILL_20150317_000007	[Puragi] Physisch, Schlag, Gift, normaler Angriff 1-mal
SKILL_20150317_000008	[Puragi] Physisch, Schlag, Gift, Angriff 1-mal
SKILL_20150317_000009	[Puragi] Physisch, Schlag, Gift, Stampfen 1-mal
SKILL_20150317_000010	[Zigri] Normaler Angriff, konischer Angriff mit Flächenwirkung
SKILL_20150317_000011	[Zigri] Drehschlag
SKILL_20150317_000012	[Zigri] Sprung und Stampfschock
SKILL_20150317_000013	[Fischer] Physisch, Schlag, Eis, Schlag mit Angelrute
SKILL_20150317_000014	[Fischer] Magisch, Verstärkung, Magie, Verstärkungsfertigkeit
SKILL_20150317_000015	[Grünpokeiler] Physisch, Stoß, Blitz, Hornangriff 1-mal
SKILL_20150317_000016	[Buschspinne] Physisch, Schlag, Erde, Angriff 1-mal
SKILL_20150317_000017	[Fragaras] Schneller Biss
SKILL_20150317_000018	[Fragaras] Großer Mampfer
SKILL_20150317_000019	[Fragaras] Normaler Angriff, konischer Angriff mit Flächenwirkung
SKILL_20150317_000020	Normaler Standardangriff
SKILL_20150317_000021	[Meduse] Magisch, Magisch, Blitzangriff 1-mal
SKILL_20150317_000022	[Gribaru] Physisch, Hieb, Blitzangriff 1-mal
SKILL_20150317_000023	[Gribaru] Physisch, Hieb, Blitz, Rückschlag, Angriff 1-mal
SKILL_20150317_000024	[Stichling] Physisch, Stoß, Giftangriff 1-mal
SKILL_20150317_000025	[Todesfee] Magisch, Magisch, Eis, Atemangriff 1-mal
SKILL_20150317_000026	[Todesfee] Magisch, Magisch, Eis, Eisspitzen
SKILL_20150317_000027	[Minigriba] Physisch, Schlag, Blitz, zweihändiger Schlag 1-mal
SKILL_20150317_000028	[Großgriba] Physisch, Schlag, Blitz, Schmettern 1-mal
SKILL_20150317_000029	[Großgriba] Physisch, Schlag, Blitz, Giftverbreitung 1-mal
SKILL_20150317_000030	[Großgriba] Physisch, Schlag, Blitz, Bodenschmettern 1-mal
SKILL_20150317_000031	[Hamming] Physisch, Schlag, Blitz, Kopfschlag
SKILL_20150317_000032	[Hamming] Physisch, Schlag, Blitz, Konterfertigkeit
SKILL_20150317_000033	[Hamming] Physisch, Schlag, Blitz, Sprung und Drehangriff
SKILL_20150317_000034	[Trüffel] Physisch, Schlag, Blitz, Bodyslam
SKILL_20150317_000035	[Trüffel] Physisch, Schlag, Blitz, Schmettern
SKILL_20150317_000036	[Trüffel] Physisch, Schlag, Blitz, Bodyslam
SKILL_20150317_000037	[Dunkelschleim] Physisch, Schlag, Schatten, Kopfstoß
SKILL_20150317_000038	[Dunkelschleim] Physisch, Schlag, Schatten, Angriff 1-mal
SKILL_20150317_000039	[Kepa] Physisch, Schlag, Gift, konischer Angriff mit Flächenwirkung
SKILL_20150317_000040	[Süchtiger Kepa] Normaler Angriff, konischer Angriff mit Flächenwirkung
SKILL_20150317_000041	[Alter Kepa] Physisch, Schlag, Erde, Qualmrauch
SKILL_20150317_000042	[Dornenkugel] Physisch, Stoß, Gift, konischer Angriff mit Flächenwirkung
SKILL_20150317_000043	[Matsum] Physisch, Schlag, Feuer, konischer Angriff mit Flächenwirkung
SKILL_20150317_000044	[Sakmoli] Magisch, Schlag, Eis Normaler Angriff 1-mal
SKILL_20150317_000045	[Sakmoli] Magisch, Schlag, Eis, normaler Angriff 1-mal
SKILL_20150317_000046	[Jukopus] Physisch, Schlag, Erde, Bodyslam
SKILL_20150317_000047	[Jukopus] Physisch, Schlag, Erde, Sprung und Bodyslam
SKILL_20150317_000048	[Rotbuschspinne] Sprung und Schmettern
SKILL_20150317_000049	[Rotbuschspinne] Normaler Angriff, konischer Angriff mit Flächenwirkung
SKILL_20150317_000050	[Baby-Dionia] Normaler Angriff, konischer Angriff mit Flächenwirkung
SKILL_20150317_000051	[Minigriba] Physisch, Schlag, Gift, einfacher Boxhieb
SKILL_20150317_000052	[Minigriba] Physisch, Schlag, Gift, abwechselnder Boxhieb
SKILL_20150317_000053	[Minigriba] Physisch, Schlag, Gift, zweihändiger Schlag
SKILL_20150317_000054	[Griba] Physisch, Schlag, Eisangriff 1-mal
SKILL_20150317_000055	[Griba] magisch, magisch, Eisangriff 1-mal
SKILL_20150317_000056	[Alter Kepa] Normaler Angriff, konischer Angriff mit Flächenwirkung
SKILL_20150317_000057	[Baumgeist] Einhändiger Schlag
SKILL_20150317_000058	[Baumgeist] Zweihändiges Klatschen
SKILL_20150317_000059	[Baumgeist] Bodenstampfen
